	shannon
G35348	1.237627379926309
G35349	3.967266787592089
G35350	3.491601732832401
G35351	4.819483093164791
G35352	4.051460350616977
G35354	3.1569069173482673
G35355	4.261499387648485
G35356	1.8978391620191333
G35359	5.126074856556157
G35361	4.557385585237756
G35364	4.753257957478145
G35365	4.2731239854300815
G35366	4.014854234625682
G35368	3.8089051550913857
G35370	3.1189516894174907
G35372	2.996627890520295
G35373	2.9851648565265245
G35374	2.7050263913707813
G35381	4.461563572137872
G35386	5.093577780518531
G35387	5.29755179212784
G35388	2.3736850014042967
G35390	3.237065508404046
G35391	5.07165126973518
G35392	4.38641674208754
G35394	4.747943064299603
G35395	4.450482633212254
G35397	4.143623342979747
G35398	4.562821768455294
G35403	5.173824160590137
G35404	2.4279664125538916
G35406	4.783077609427421
G35407	4.249923530003756
G35409	3.995706315887748
G35412	5.257888212394145
G35414	2.2605289450605084
G35416	2.5412913892672293
G35417	2.674442557813491
G35418	5.228566199964151
G35419	4.187340129658471
G35421	4.425471599992211
G35422	5.205174207585273
G35423	3.896262540510786
G35424	4.261802117803976
G35433	3.805774018046841
G35437	3.405048149299423
G35441	3.628259088312444
G35442	4.136123681754448
G35443	3.762916909999039
G35444	3.8854990950072374
G35445	3.079532375949461
G35447	3.317160782811073
G35448	3.847568284058976
G35449	3.639036271871317
G35453	5.269441155634283
G35455	5.441309480685861
G35458	5.462424875104729
G35462	4.268166921584529
G35463	5.009566655143857
G35464	3.591495934104268
G35465	5.367451693507755
G35467	4.5123666832968325
G35469	5.042431938156505
G35470	4.526601104719786
G35473	5.502293771927172
G35475	3.450482901156829
G35476	4.703073524767106
G35477	5.69553615619244
G35480	3.6113515504695064
G35481	3.2474062309456695
G35484	5.219171866060832
G35486	4.092811379857697
G35487	3.7372536474785916
G35490	4.333688671072082
G35495	2.198776541367926
G35497	2.4446062074691977
G35498	2.0963054189105472
G35504	4.341292981945052
G35505	4.324778694285143
G35510	0.7705990212017659
G35512	4.3313079791295666
G35514	4.608781894264345
G35515	1.5977913393796337
G35516	2.2319621995852676
G35517	4.936244899157342
G35518	4.917028416664679
G35519	4.877133648424106
G35520	4.865967300875487
G35521	3.518701706360696
G35523	2.6914584670928017
G35525	2.834871713335837
G35526	1.995743402569008
G35527	2.972930806316813
G35528	4.179334795147511
G35530	4.160382900953522
G35531	3.9593319276482726
G35532	4.0658783635385625
G35534	4.122681418149327
G35535	4.64194430423514
G35536	4.845701650757037
G35537	4.915377246862865
G35867	3.7011386459152265
G35876	4.193691038400749
G35878	3.9095942274133795
G35881	4.127000733225035
G35891	3.277578772904613
G35892	4.775688428420303
G35894	4.456847146565332
G35898	4.880139580521167
G35900	4.9889176021423465
G35901	4.310839331801689
G35906	4.770525209602068
G35908	4.863826816268096
G35915	4.1192089446622635
G35923	4.088644063185343
G35925	4.869067526611831
G35926	4.788165314223039
G35928	3.257460529843241
G35932	5.016804653868201
G35933	4.711165501335132
G35934	4.973892527983207
G35936	4.443099247167753
G35937	1.9131096499663043
G35938	4.975035236309046
G35939	4.692152497249662
G35940	4.912050096214739
G35941	3.963912495577952
G35942	4.539592085557189
G35944	4.348390459981898
G35945	4.329494137074874
G35946	4.031283479669459
G35947	3.7024331642887995
G35948	4.057183117175928
G35950	3.4541728648965515
G35951	3.5692693146762786
G35952	3.8114102957426743
G35953	3.6979679055885155
G35954	4.009685586708091
G35955	3.9362220623772033
G35956	1.6781573082345258
G35957	1.590573305315405
G35958	1.9575080041328534
G35959	2.6620798176175944
G35960	3.7125769047143655
G35961	3.8847125957740394
G35962	3.9112879753579226
G35963	4.0442678099702185
G35966	4.312661345261606
G35967	4.1906105198453965
G35970	3.515320909990268
G35971	2.5499471387229495
G35972	2.3447156379633634
G35973	2.9322192428174434
G35974	2.599587945110532
G35975	2.528858886343589
G35976	3.577754662368757
G35977	3.0240203649261663
G35978	3.6653260750495686
G35979	3.8949814636266504
G35980	3.613665047055169
G35981	4.677981540185582
G35982	4.497353030446113
G35983	4.8168881008638955
G35984	5.124923195781789
G35985	3.5113588012430177
G35986	3.6583003121761632
G35987	3.030124048203718
G35988	3.297113780239215
G35990	3.497202060283135
G35991	4.140335350516983
G35992	4.115331392726943
G35993	4.2024749734829285
G35994	3.6525847010281893
G35995	2.6338333436515513
G35996	4.744089157119061
G35997	4.202475260757369
G35998	4.41894891489333
G36000	5.090838129383186
G36001	4.160127982690989
G36002	2.7785563567882603
G36003	4.645292745280393
G36005	4.381402284243074
G36006	3.497605576530805
G36007	3.1711153904961824
G36008	5.100625930074756
G36010	4.382347000042566
G36011	5.788381756126799
G36012	4.849999696999361
G36013	4.952427038503185
G36015	4.980742066199777
G36016	5.108845531445572
G36017	5.433272541250915
G36018	5.954682630441159
G36019	5.866580400488993
G36020	2.834991264229757
G36021	2.2399335980333808
G36022	5.965789847344254
G36023	5.761495738688597
G36024	3.906098258714876
G36026	3.1939864173237074
G36028	3.9036139910146224
G36029	3.1280382053880653
G36030	3.4378601196508947
G36031	3.3519070685653
G36032	4.2812887734812515
G36033	4.425838884304756
G36034	2.7723559798442694
G36035	3.397988096224919
G36036	3.4771414497992947
G36037	4.352731300346758
G36038	3.092149441905342
G36039	2.5862279985391807
G36040	2.1052274862376823
G36041	3.001761208411615
G36042	3.4092061572076675
G36043	5.56471773664337
G36044	5.651770298440642
G36045	5.647560290558075
G36046	5.309288387737126
G36048	4.69321336537959
G36049	2.3955618540612895
G36051	4.820079301014623
G36052	4.066244926158585
G36054	4.691955184798302
G36133	4.727439688609302
G36134	4.482155419827568
G36136	4.243975157626975
G36138	4.321215235033164
G36139	2.6641167145976414
G36140	3.1953807851223512
G36141	4.16883094469287
G36142	4.848845106643113
G36143	3.7545122987729505
G36144	3.6152874067097223
G36145	3.3683299556351813
G36146	2.971197410096547
G36147	1.7884172265416376
G36148	2.0886946505244706
G36149	5.6553241294297205
G36150	5.399937863619952
G36151	5.060725885284807
G36152	5.07329962650588
G36153	5.503213003740024
G36154	5.660380454425521
G36155	5.313680503506648
G36156	5.3970814666945435
G36157	5.796567558547629
G36158	2.8813794290174433
G36159	2.4842582014962553
G36160	4.157192509440404
G36162	3.7844006142373283
G36163	4.269655485671219
G36164	4.4687890132075765
G36165	4.520581271716533
G36166	4.5479115783227995
G36167	4.206263501825184
G36168	3.98397677136312
G36169	4.625723393414638
G36170	4.025120999664529
G36171	3.8559794209893075
G36172	4.321693376325662
G36173	2.803454996055269
G36174	5.10992002459612
G36175	5.66349498695569
G36176	5.547882374336281
G36177	5.420170694914655
G36179	3.900995384950221
G36180	3.1210883333152304
G36181	5.6576776110930505
G36182	4.644486670882946
G36183	5.724704278002103
G36184	5.398465456561319
G36185	2.7289347565210766
G36186	3.3346578219942153
G36187	3.263524110442717
G36188	4.357269845206863
G36189	3.509145147017721
G36190	3.700490815285115
G36191	3.9640510996080254
G36192	4.35174465217389
G36193	4.6568609792669005
G36194	4.256538012860584
G36195	4.021338136022052
G36196	4.931096129837481
G36197	3.8370599457373684
G36198	2.5393980046822526
G36199	5.694486688387797
G36200	5.796353725969077
G36201	4.833642242558661
G36202	4.68596423767903
G36203	5.453245299413374
G36204	4.810857429023352
G36205	5.097302300774773
G36206	4.601894931040543
G36207	5.260665746565034
G36208	4.165779093297684
G36209	3.953861375792755
G36210	3.889436824914074
G36211	4.527071280922414
G36212	4.02660376545259
G36213	2.5204696348190323
G36214	3.997700696947326
G36215	2.130739973442965
G36216	4.66225743929096
G36217	4.148148913575507
G36219	2.9782328288569264
G36220	4.058795587150101
G36221	3.5645974522015504
G36222	4.9853807782095645
G36223	4.955029635504744
G36224	4.804947674796722
G36225	5.014740032345227
G36226	2.6824638052645393
G36227	2.581284314392316
G36230	2.636251880424576
G36231	2.5147482327799553
G36232	4.663910756219231
G36233	5.203676354078659
G36234	5.909244185893979
G36235	6.028629794068355
G36236	3.619871582510945
G36239	2.516225893756456
G36240	4.918920786469577
G36241	5.017791131964152
G36242	5.525665973750929
G36243	5.8272144705296425
G36244	5.866717240558504
G36245	4.426049036166172
G36246	5.032848789834047
G36247	4.688736100440615
G36248	5.094285115574931
G36249	4.65715284341608
G36250	4.641721040707961
G36251	4.776472427898349
G36252	4.74985887227678
G36253	5.153344279518676
G36254	4.349454519695183
G36255	5.378890797278405
G36256	4.41565486324772
G36257	4.838603193985916
G36258	2.4416195843366952
G36259	3.7990045185095207
G36260	3.903701248529366
G36261	4.232276974293349
G36262	4.673164906080721
G36263	4.512546402209798
G36264	4.34872044797739
G36265	4.507865460481585
G36266	4.752265772941716
G36267	4.791526208889655
G36268	4.718922303864623
G36269	3.4912935684906614
G36270	4.862532290506604
G36271	5.286924662662163
G36272	5.688632858825538
G36273	5.979606290711498
G36274	4.804371081396489
G36275	5.1707279108815145
G36276	4.508031550362542
G36277	3.1429195430069288
G36279	4.053793407403529
G36280	5.581521110633331
G36281	5.06567714238665
G36282	4.7159349454366515
G36285	4.725004937745657
G36286	5.3010404265463595
G36287	5.383873603889352
G36288	5.546566180834581
G36289	5.5851947514165525
G36290	4.191205419927577
G36291	4.755805972579424
G36292	3.8533241130595717
G36293	3.660876372555533
G36294	4.0025947662174035
G36295	3.062929659576469
G36296	4.1872214042854665
G36297	4.248425820930576
G36298	3.7943933048431657
G36299	4.450377278333133
G36300	4.731362095638208
G36301	4.219687859728216
G36302	3.1662674218938673
G36303	2.5587211681758726
G36304	4.44051462619188
G36305	3.814374145258703
G36306	2.9136161390110984
G36308	4.486294384180627
G36309	3.991786202212467
G36310	3.8350090053224544
G36311	4.722249946660914
G36312	4.6314163416932965
G36313	4.475571624962989
G36314	3.233035057739744
G36316	4.709253103644991
G36317	4.9257536857281785
G36318	1.8605549002189106
G36319	3.6298313817852996
G36320	2.7502568706805604
G36321	4.724909233046213
G36322	3.834149812321419
G36408	3.1408856629379405
G36417	4.630561833230496
G36419	2.951567624082472
G36420	3.315048755422444
G36421	3.7988712307798846
G36422	3.3619540035644135
G36423	2.9163028357831973
G36424	3.0770208859902564
G36429	4.17058775073239
G36430	3.4280389958311654
G36431	3.774790298133122
G36432	3.8078307618411213
G36433	3.9366369350117556
G36434	3.4692830369258143
G36435	3.611481321130343
G36436	4.306626580318075
G36437	4.478759466766046
G36438	4.682267195058659
G36439	3.3511164557339796
G36440	4.736722365595092
G36442	4.9088552059919985
G36443	3.5581206321297927
G36444	3.9787579144729217
G36445	5.183302224365785
G36446	4.8455282077131265
G36448	5.095596010099374
G36449	2.378534216917368
G36450	3.8314110461056403
G36451	3.409348094205107
G36452	3.884829066626578
G36454	4.054246408527887
G36455	4.0941517456772765
G36456	5.353060400621016
G36457	4.992080327165272
G36458	4.055761726359399
G36460	4.316028638068235
G36461	4.328323944161609
G36462	5.684377195033632
G36464	3.7917269155229927
G36465	3.2549196472339443
G36466	4.211241628823902
G36467	3.987017503262869
G36468	5.316627571694872
G36470	4.3469556308406645
G36471	3.4886309537253988
G36472	4.23983008683064
G36473	4.422872255566055
G36474	5.600820681927351
G36475	4.36180408923378
G36476	4.438527323002389
G36477	4.84191536062397
G36478	4.424034807352694
G36479	4.499718732502504
G36480	4.922361504129558
G36482	4.386247518024845
G36484	4.310641135701783
G36485	3.192853995347478
G36486	3.564892647240553
G36487	2.7295600251215246
G36488	3.054271309525479
G36489	4.67198955561696
G36490	4.541011941968227
G36491	4.2440652902101625
G36492	4.416053571861858
G36493	3.86267711199626
G36494	4.817079043949393
G36495	4.493999378807542
G36496	4.942775889512112
G36497	4.560058116074837
G36498	5.50612809178135
G36499	5.329027121798051
G36500	5.12687726917619
G36501	4.884570977226173
G36502	5.115401557230167
G36503	4.440846705166959
G36505	5.041321150638427
G36506	4.826023621749718
G36507	3.4749097377254796
G36508	3.3852817452952686
G36509	3.086138246753197
G36510	2.9210448710570733
G36511	2.3704692241885708
G36512	2.789761726093165
G36513	2.858525647180575
G36514	2.8503544202558597
G36515	4.65449593033895
G36516	3.6228098369622685
G36517	3.754524668132156
G36518	3.553616624666654
G36519	1.059083353452498
G36520	3.23272372944864
G36521	2.414482257624109
G36522	2.1230559262205015
G36523	2.211467685753127
G36524	5.159373929599051
G36525	4.70355583926506
G36526	5.148841981804573
G36527	5.057819751860785
G36528	5.177588904872243
G36529	5.294995264348598
G36530	4.669349900526503
G36532	4.892270730707656
G36533	4.254410953962344
G36534	4.663072120141934
G36535	4.510243512216419
G36536	5.127846261353492
G36537	5.131827668900285
G36538	4.332341444749763
G36540	4.188223708016662
G36541	4.02406741197072
G36542	4.788412069945771
G36543	3.7083882042023046
G36544	3.461671344772482
G36545	3.0253046795745058
G36546	6.011706420746008
G36547	4.552059449862199
G36548	3.6973024663927054
G36549	2.6505889749948808
G36550	4.077505599902283
G36551	3.3831197207482067
G36552	3.0939475234583567
G36553	5.829873045471097
G36554	4.410826941769225
G36555	4.697233318491512
G36556	5.38122787157958
G36557	3.1898175922001983
G36558	3.0087772973881197
G36748	4.873794150274974
G36750	4.404965361189669
G36751	5.3335679810551975
G36752	4.053588766742662
G36753	4.015653692367008
G36755	5.149230934528245
G36756	4.134977943485001
G36757	4.312404500736179
G36759	4.821693093635846
G36760	3.4308284247246226
G36761	4.103047273072297
G36762	4.958217730203871
G36763	4.931180309260921
G36764	4.759450652906876
G36765	3.303716547946574
G36766	4.381206217259473
G36769	4.741428396873588
G36771	4.940435257000397
G36772	3.6113165065947026
G36773	4.604475903500982
G36777	4.145475367918745
G36778	2.6794910563374876
G36779	4.945925104373007
G36780	4.363173825001763
G36783	3.588115983037352
G36784	3.7391326417928203
G36785	4.420984658261323
G36786	3.2869522205029256
G36787	3.023909959498681
G36788	3.6796437320882633
G36789	3.079475642493094
G36795	2.5550470194719566
G36796	3.4114329828151444
G36797	4.05213011717385
G36798	5.634170301244878
G36799	3.780618803937469
G36803	4.275890730524466
G36807	3.784325571760583
G36808	4.358435459452252
G36809	3.013211802248005
G36810	2.9933417168440246
G36811	4.671167306493873
G36813	4.255533536461
G36815	3.2114048204804004
G36816	3.783436139968129
G36818	2.7633525379277804
G36819	3.9099562293036034
G36820	3.806252886402962
G36822	2.343459120552054
G36823	4.152814535743518
G36824	3.648193637665388
G36826	6.111280079352634
G36827	3.285491152144658
G36829	4.67878961725589
G36830	3.9327323164212618
G36831	4.005674527238434
G36834	4.736098855756949
G36835	3.6875764850762067
G36837	4.107202994554869
G36838	3.8687834779430443
G36839	4.342216285743009
G36840	5.600766321044547
G36843	5.900392369059402
G36844	5.75232687522036
G36845	3.4733424177484076
G36846	3.399873739042761
G36847	3.6612428865804825
G36848	3.1865358449974055
G36849	3.6892287498381093
G36850	2.5388471328911693
G36851	5.753446985779381
G36854	5.283090754908699
G36855	5.253113742650267
G36856	5.517920392880856
G36857	5.259158831743119
G36858	5.294328816266074
G36859	5.26926356947318
G36860	4.847162918571498
G36861	5.252205924678183
G36862	4.857601297326104
G36863	4.286620646085904
G36864	4.6517723836546505
G36865	4.448938317718321
G36866	4.095947680896403
G36867	3.456182277304007
G36868	4.130793308725949
G36870	4.2199429279432685
G36871	3.593533900719635
G36872	3.9653523051599215
G36873	3.7575207673038644
G36874	2.8260419684800446
G36875	5.914381446760674
G36877	3.9691079629865453
G36878	4.270903184090517
G36879	3.1553380906504773
G36880	4.526546217204793
G36881	4.629707386112089
G36882	4.82321247603725
G36883	4.249903718611884
G36884	5.3985078046978865
G36885	3.4338665321305704
G36886	4.235154725887925
G36887	4.435369564081471
G36888	4.778202847934129
G36889	3.29940965145572
G36890	4.96228070840779
G36891	5.381927446473305
G36892	5.4479520741583105
G36893	5.259128059032529
G36894	4.312621193460228
G36895	3.988243645460493
G36896	4.7444000536532664
G36897	4.492826003770393
G36898	3.8315930970274263
G36899	5.883182634745791
G36900	5.331700088661142
G36902	5.10417675056292
G36904	5.767161381920809
G36905	3.2862395672287255
G36906	5.014320555806552
G36910	3.9201903552804045
G36911	4.317200627511513
G36917	5.504022639348153
G36918	4.397584307520956
G36921	5.0425854669497765
G36923	3.874785288481111
G36925	5.753520088536803
G36927	5.007619070338257
G36928	5.732909615641474
G36930	5.0247715199498995
G36932	4.821656938862197
G36933	5.040639627063317
G36935	5.045932960834295
G36936	4.083997266058054
G36937	4.274212943746497
G36938	4.388265200637465
G36940	2.724225595654021
G36944	4.475133028112298
G36948	4.4509180834851145
G36951	5.35248791482779
G36952	4.878668188810147
G36953	4.407085563124901
G36957	2.7232407963634633
G36958	3.3565476953470736
G36959	2.839845698923723
G36960	5.38533211501538
G36964	3.564297214791573
G36966	3.299098045964974
G36968	2.821077674641169
G36972	5.605119145574042
G36973	5.013515518941996
G36974	4.389740867210782
G36982	3.986582577971635
G36984	4.334440626671008
G36987	2.5928934841298745
G36988	3.05945869296237
G36991	5.289914563936722
G36992	5.12985935987005
G36993	2.24121662517027
G37004	3.7873252325756086
G37005	2.956429095690828
G37009	4.312818890256114
G37010	4.222677899828366
G37011	3.0455527247117935
G37012	2.943731717265676
G37013	5.613013755346
G37014	4.303024357479104
G37015	4.723687934108042
G37016	5.192763048436005
G37017	4.864847567829332
G37018	2.9457556864849304
G37019	4.993508266412207
G37020	5.924323768685715
G37021	3.908019776000616
G37022	3.6883173782205554
G37023	4.586180430758395
G37024	3.8493638751089265
G37025	4.694602146852965
G37026	3.4803602902597306
G37027	3.264662031779001
G37028	3.510654650834461
G37029	4.45692600409179
G37030	5.089064387283148
G37031	3.518620175543317
G37032	5.363041807111952
G37033	3.8782435254511483
G37034	5.198013938348069
G37035	4.061056844743835
G37036	3.1946041125697815
G37037	4.846786985657596
G37038	3.2548751481732925
G37039	4.743172392851249
G37040	4.777653567094299
G37041	3.551344634003168
G37042	2.0344305262656133
G37043	3.1848595264716377
G37044	4.024998431108384
G37045	3.5762051672855484
G37046	3.8361646778375023
G37047	4.899459364095449
G37048	5.266782776171189
G37049	4.58719234806366
G37050	2.7852953066186497
G37051	3.634332111391011
G37052	5.079714597077897
G37053	4.645496609701961
G37054	5.505541431445136
